Scan,HV_top,Efficiency,Eff_Error
30CO2_OFF,6000.0,0.002371771481543575,0.0007560892664756323
30CO2_OFF,6100.0,0.0016674010142636222,0.0006345596029724407
30CO2_OFF,6200.0,0.00474007266056765,0.0010676110137002603
30CO2_OFF,6300.0,0.014721029831400593,0.001871301026207844
30CO2_OFF,6400.0,0.05393125983840765,0.0035246766201334923
30CO2_OFF,6500.0,0.20024307643614497,0.006293697831611419
30CO2_OFF,6600.0,0.4333532290225076,0.00756128562219193
30CO2_OFF,6700.0,0.6446414667776967,0.007394102760287342
30CO2_OFF,6800.0,0.8070453387671931,0.006195467742035529
30CO2_OFF,6900.0,0.9138879896406604,0.00430211208578832
30CO2_OFF,7000.0,0.9505210090754806,0.0033692544493819916
30CO2_OFF,7100.0,0.9767839186922157,0.002374207607598959
30CO2_OFF,7200.0,0.9854986861267064,0.0018444010483477673
30CO2_OFF,7300.0,0.9924409060114081,0.0013643779053660312
30CO2_OFF,7400.0,0.9913396322289401,0.0014261714097906406
30CO2_OFF,7500.0,0.9939344784412228,0.001224920737472586
30CO2_OFF,7600.0,0.9967847971885904,0.0008834773436975463
30CO2_10,6100.0,0.00020498850539661887,0.0002608511486450213
30CO2_10,6250.0,0.004942604715775064,0.0012710998908256005
30CO2_10,6400.0,0.04736163113109957,0.00387356319963374
30CO2_10,6550.0,0.22744525547445255,0.007436943216510869
30CO2_10,6700.0,0.532676452845365,0.008529048404995306
30CO2_10,6850.0,0.8154186430280882,0.006468655410232065
30CO2_10,7000.0,0.917252139595714,0.004099640611687239
30CO2_10,7150.0,0.96065369188102,0.0030542227235923008
30CO2_10,7300.0,0.968907480193689,0.002992547968994251
30CO2_10,7450.0,0.9733488733488733,0.002973459291223236
30CO2_10,7600.0,0.9749345032459747,0.002894394096225388
30CO2_10,7750.0,0.9741414199041892,0.0029441879902560746
30CO2_3.3,5800.0,0.00022398412063957983,0.00023305225241016583
30CO2_3.3,5900.0,0.0,0.0
30CO2_3.3,6000.0,0.0,0.0
30CO2_3.3,6100.0,0.001321464646150129,0.0005674161243264689
30CO2_3.3,6200.0,0.0008288202368382209,0.0004520243399546975
30CO2_3.3,6300.0,0.01164063159070413,0.001632316591264137
30CO2_3.3,6400.0,0.05167607784461821,0.0034893150415495435
30CO2_3.3,6500.0,0.15457009273294364,0.005576651604153326
30CO2_3.3,6600.0,0.35480347688900343,0.0074740150093702854
30CO2_3.3,6700.0,0.557029730480689,0.007685891328053988
30CO2_3.3,6800.0,0.7138289787468225,0.00701425001257746
30CO2_3.3,6900.0,0.8395857016546672,0.005788166673543811
30CO2_3.3,7000.0,0.8971729842741569,0.004808451742618699
30CO2_3.3,7100.0,0.9159692475691734,0.0043280423536429455
30CO2_3.3,7200.0,0.9419405334800823,0.003671066418820273
30CO2_3.3,7300.0,0.9444037468397912,0.0036312068148044332
30CO2_3.3,7400.0,0.9483496936557085,0.0034945750669768925
30CO2_3.3,7500.0,0.955272029459053,0.0032699445462261575
30CO2_3.3,7600.0,0.955001597954618,0.00328924312066376
30CO2_2.2,6100.0,0.0012327133569419058,0.0004922048345137997
30CO2_2.2,6300.0,0.017262644986593155,0.0018304945412608098
30CO2_2.2,6500.0,0.1970302967635198,0.005620055048699175
30CO2_2.2,6700.0,0.6692839212235708,0.006650140332098096
30CO2_2.2,6900.0,0.8827655916219456,0.0045623088983507715
30CO2_2.2,7000.0,0.9138585654438347,0.003982661591519321
30CO2_2.2,7100.0,0.9317941456082629,0.0035857128723927436
30CO2_2.2,7200.0,0.9378748820595768,0.003441307762777515
30CO2_2.2,7300.0,0.9431803513880102,0.0033081225691207216
30CO2_2.2,7400.0,0.93487091928208,0.0035435389215915966
30CO2_1,6100.0,0.0009261340131662762,0.0003599616219402296
30CO2_1,6300.0,0.01659601499320594,0.0014900288584865512
30CO2_1,6500.0,0.20066057095673503,0.005182035483239026
30CO2_1,6700.0,0.6624382763730825,0.006415484419770417
30CO2_1,6900.0,0.8763821194531697,0.004649702851865328
30CO2_1,7000.0,0.9071467244179751,0.004114311759353909
30CO2_1,7100.0,0.9246590072068459,0.0037375480746347244
30CO2_1,7200.0,0.9328493552838228,0.003559161568097439
30CO2_1,7300.0,0.9357667283532748,0.0034469222031397184
30CO2_1,7400.0,0.9394953918223942,0.003411565594393362
