Scan,HV_top,Efficiency,Eff_Error
40CO2_OFF,6000.0,0.002376450588908741,0.0007587602474049778
40CO2_OFF,6100.0,0.007177051322500267,0.0013170240694153222
40CO2_OFF,6200.0,0.022328201267300108,0.002320499830023987
40CO2_OFF,6300.0,0.08059446327696883,0.0041267828729256665
40CO2_OFF,6400.0,0.22579885835343969,0.006402936231345291
40CO2_OFF,6500.0,0.4231304482526865,0.0077045875466598265
40CO2_OFF,6600.0,0.6474304150118974,0.007319193081022774
40CO2_OFF,6700.0,0.808024574788181,0.006147965584651442
40CO2_OFF,6800.0,0.8894837316377449,0.004831583507516577
40CO2_OFF,6900.0,0.9571937922986561,0.0031977436315799358
40CO2_OFF,7000.0,0.9740925727250794,0.0025005565528622336
40CO2_OFF,7100.0,0.9800587047314793,0.002190511422600818
40CO2_OFF,7200.0,0.987270685136653,0.0017576409537600444
40CO2_OFF,7300.0,0.9909739464807218,0.0014861154830378338
40CO2_OFF,7400.0,0.9901783546045708,0.001553061227344837
40CO2_OFF,7500.0,0.9940236772679667,0.001232929114462226
40CO2_OFF,7600.0,0.9920287678044083,0.001415080988609503
40CO2_10,5800.0,0.0,0.0
40CO2_10,5900.0,0.0003817323709050528,0.0003044431125333929
40CO2_10,6000.0,0.0011171597986870572,0.0005218298866658371
40CO2_10,6100.0,0.004980984669440312,0.0011050037886986908
40CO2_10,6200.0,0.01981501580859799,0.0021154675571862605
40CO2_10,6300.0,0.06960727603903857,0.003938984298964658
40CO2_10,6400.0,0.2099002962910513,0.0062651881615888964
40CO2_10,6500.0,0.4308853497056998,0.0076962749806922266
40CO2_10,6600.0,0.620396542699197,0.007619926651619118
40CO2_10,6700.0,0.7851592414212033,0.006347251859631263
40CO2_10,6800.0,0.8732839796527425,0.005213663023817102
40CO2_10,6900.0,0.9324446842148643,0.0038964542871853286
40CO2_10,7000.0,0.9506362802540108,0.003368785618924203
40CO2_10,7100.0,0.9645748802267375,0.002938972321570011
40CO2_10,7200.0,0.9698508308326529,0.002689626597413579
40CO2_10,7300.0,0.9711281416078833,0.002632790948643455
40CO2_10,7400.0,0.9787040188506348,0.00229475654787384
40CO2_6.9,5800.0,0.00021598458733984742,0.0002285489544412053
40CO2_6.9,5900.0,0.0013166018283657028,0.0005652016995066287
40CO2_6.9,6000.0,0.001428482081430984,0.0005912126098163709
40CO2_6.9,6100.0,0.004504096463151962,0.0010506392485887725
40CO2_6.9,6200.0,0.019391925142461828,0.0021002412505563227
40CO2_6.9,6300.0,0.0779455661758699,0.004189353763371473
40CO2_6.9,6400.0,0.20060105184072125,0.006260855053329899
40CO2_6.9,6500.0,0.41215032980518485,0.007578926190541395
40CO2_6.9,6600.0,0.6271081729060441,0.007638336842251093
40CO2_6.9,6700.0,0.7722490921127414,0.0065552293231479625
40CO2_6.9,6800.0,0.8709203510682759,0.005242076656842486
40CO2_6.9,6900.0,0.923182490417471,0.004166562114515608
40CO2_6.9,7000.0,0.9419280025746206,0.0036718905910707923
40CO2_6.9,7100.0,0.9637401291447455,0.002923375094303555
40CO2_6.9,7200.0,0.9648322615373014,0.002917991120480229
40CO2_6.9,7300.0,0.9720473326948339,0.002619435694476614
40CO2_6.9,7400.0,0.967789519629987,0.002812456673633788
40CO2_4.6,5800.0,0.00019104187290505217,0.00021549809761870089
40CO2_4.6,5900.0,0.0008134271361776376,0.00044474856172004485
40CO2_4.6,6000.0,0.0008716286737153453,0.00046121399913401546
40CO2_4.6,6100.0,0.00310030648888709,0.0008744397497501535
40CO2_4.6,6200.0,0.01559764520287039,0.0018969440391945923
40CO2_4.6,6300.0,0.082147322258625,0.004331359109488355
40CO2_4.6,6400.0,0.21401223622937082,0.006293410559941017
40CO2_4.6,6500.0,0.41271615012395985,0.007797961985457963
40CO2_4.6,6600.0,0.6053495141225357,0.007732086078391786
40CO2_4.6,6700.0,0.7715181443662059,0.0064955317941365375
40CO2_4.6,6800.0,0.8665328209000416,0.005295663984124114
40CO2_4.6,6900.0,0.911379765343604,0.004455799769899883
40CO2_4.6,7000.0,0.9334885705639315,0.0038952454660862307
40CO2_4.6,7100.0,0.9505244352610986,0.0034365795003384824
40CO2_4.6,7200.0,0.9535395822862858,0.003327981644314667
40CO2_4.6,7300.0,0.9614865030825535,0.003039584465139546
40CO2_4.6,7400.0,0.9639862700586675,0.0029549238142036406
40CO2_3.3,5800.0,0.00020893474189141576,0.00022497938314667423
40CO2_3.3,5900.0,4.940003655602705e-05,0.00010933840931840299
40CO2_3.3,6000.0,0.0010002055216825376,0.0004936684753559089
40CO2_3.3,6100.0,0.007047137291696412,0.001320164066532069
40CO2_3.3,6200.0,0.02168443752246316,0.002246107622328339
40CO2_3.3,6300.0,0.08353630764965643,0.004283226860648866
40CO2_3.3,6400.0,0.2212222229018466,0.006380406099413572
40CO2_3.3,6500.0,0.41424754463405733,0.00771749786483571
40CO2_3.3,6600.0,0.6215240743081006,0.007574538533211908
40CO2_3.3,6700.0,0.7697559357638408,0.006555584449041866
40CO2_3.3,6800.0,0.8607563160220106,0.005388377539869254
40CO2_3.3,6900.0,0.9079705352229296,0.004511726293894051
40CO2_3.3,7000.0,0.9217649771549703,0.0042401808209711865
40CO2_3.3,7100.0,0.9360292111510305,0.003838474895499311
40CO2_3.3,7200.0,0.9490322630975383,0.003483966742862355
